TITLE,Name,Z-Layer,Thickness (A),Relpermittivity,Conductivity,Group,,,
Zstart,-2500000,,,,,,,,
DEFINE,Substrate,0,2500000,11.9,10,0,,,
DEFINE,FOX,1,3000,3.9,0,3,,31900,thickness to 7C
DEFINE,ILD,2,3100,4.2,0,3,,,
DEFINE,IMD_1a,3,300,4.5,0,3,,,
DEFINE,IMD_1b,4,1300,2.9,0,3,,,
DEFINE,IMD_1c,5,500,5,0,3,,,
DEFINE,IMD_1d,6,300,4.2,0,3,,,
DEFINE,IMD_2a,7,950,2.9,0,3,,,
DEFINE,IMD_2b,8,2200,2.9,0,3,,,
DEFINE,IMD_2c,9,500,5,0,3,,,
DEFINE,IMD_2d,10,300,4.2,0,3,,,
DEFINE,IMD_3a,11,950,2.9,0,3,,,
DEFINE,IMD_3b,12,2200,2.9,0,3,,,
DEFINE,IMD_3c,13,500,5,0,3,,,
DEFINE,IMD_3d,14,300,4.2,0,3,,,
DEFINE,IMD_4a,15,950,2.9,0,3,,,
DEFINE,IMD_4b,16,2200,2.9,0,3,,,
DEFINE,IMD_4c,17,500,5,0,3,,,
DEFINE,IMD_4d,18,300,4.2,0,3,,,
DEFINE,IMD_5a,19,950,2.9,0,3,,,
DEFINE,IMD_5b,20,2200,2.9,0,3,,,
DEFINE,IMD_5c,21,500,5,0,3,,,
DEFINE,IMD_5d,22,300,4.2,0,3,,,
DEFINE,IMD_6a,23,950,2.9,0,3,,,
DEFINE,IMD_6b,24,2200,2.9,0,3,,,
DEFINE,IMD_6c,25,500,5,0,3,,,
DEFINE,IMD_6d,26,300,4.2,0,3,,,
DEFINE,IMD_7a,27,950,2.9,0,3,,,
DEFINE,IMD_7b,28,2200,2.9,0,3,,,
DEFINE,IMD_7c,29,500,5,0,4,,,
DEFINE,IMD_8a,30,6200,4.2,0,4,,,
DEFINE,IMD_8b,31,500,8.1,0,4,,,
DEFINE,IMD_8c,32,7750,4.2,0,4,,,
DEFINE,IMD_8d,33,750,8.1,0,4,,,
DEFINE,IMD_9a,34,7250,4.2,0,4,,,
DEFINE,IMD_9b,35,1100,8.1,0,4,,,
DEFINE,IMD_9c,36,32300,4.2,0,4,,,
DEFINE,PASS1,37,750,8.1,0,4,,,
DEFINE,PASS2,38,4000,4.2,0,4,,,
DEFINE,PASS3,39,750,8.1,0,4,,,
DEFINE,PASS4,40,2500,4.2,0,4,,,
DEFINE,PASS5,41,4000,4.2,0,4,,,
DEFINE,PASS6,42,6000,8.1,0,4,,,
